"price","mileage","tax","mpg","age","model","transmission","fuelType","manufacturer","model_collapsed","engineSize_int"
11650,51770,125,58.9,6,"E Class","Semi-Auto","Diesel","Mercedes","E Class","2.1"
14789,37006,20,68.9,4,"A Class","Manual","Diesel","Mercedes","A Class","[1.5,1.8)"
18289,26900,125,58.9,3,"CL Class","Semi-Auto","Diesel","Mercedes","CL Class","2.1"
24490,1677,145,55.4,1,"B Class","Automatic","Diesel","Mercedes","B Class","[1.8,2.1)"
24490,34937,145,56.5,3,"GLC Class","Semi-Auto","Diesel","Mercedes","GLC Class","2.1"
23890,14098,145,72.4,1,"E Class","Semi-Auto","Diesel","Mercedes","E Class","[1.8,2.1)"
28490,25000,200,40.9,4,"CL Class","Semi-Auto","Petrol","Mercedes","CL Class","[1.8,2.1)"
40850,10771,145,34,1,"GLC Class","Semi-Auto","Petrol","Mercedes","GLC Class","[2.2,5.5]"
24490,6877,145,61.4,1,"C Class","Semi-Auto","Diesel","Mercedes","C Class","2.1"
23490,40023,150,56.5,3,"GLC Class","Semi-Auto","Diesel","Mercedes","GLC Class","2.1"
23490,1734,150,44.8,0,"GLA Class","Semi-Auto","Petrol","Mercedes","GLA Class","[1.5,1.8)"
24995,2499,145,37.2,0,"GLA Class","Semi-Auto","Petrol","Mercedes","GLA Class","[1.5,1.8)"
19990,22530,150,70.6,3,"SL CLASS","Semi-Auto","Diesel","Mercedes","SL CLASS","2.1"
